movieId,title,year
1,Toy Story,1995
2,Jumanji,1995
3,Grumpier Old Men,1995
4,Waiting to Exhale,1995
5,Father of the Bride Part II,1995
6,Heat,1995
7,Sabrina,1995
8,Tom and Huck,1995
9,Sudden Death,1995
10,GoldenEye,1995
12,Dracula: Dead and Loving It,1995
13,Balto,1995
14,Nixon,1995
15,Cutthroat Island,1995
16,Casino,1995
17,Sense and Sensibility,1995
18,Four Rooms,1995
19,Ace Ventura: When Nature Calls,1995
20,Money Train,1995
21,Get Shorty,1995
22,Copycat,1995
23,Assassins,1995
24,Powder,1995
25,Leaving Las Vegas,1995
26,Othello,1995
27,Now and Then,1995
28,Persuasion,1995
31,Dangerous Minds,1995
34,Babe,1995
35,Carrington,1995
36,Dead Man Walking,1995
39,Clueless,1995
40,"Cry, the Beloved Country",1995
41,Richard III,1995
42,Dead Presidents,1995
43,Restoration,1995
44,Mortal Kombat,1995
45,To Die For,1995
48,Pocahontas,1995
49,When Night Is Falling,1995
52,Mighty Aphrodite,1995
53,Lamerica,1994
55,Georgia,1995
57,Home for the Holidays,1995
61,Eye for an Eye,1996
62,Mr. Holland's Opus,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
65,Bio-Dome,1996
66,Lawnmower Man 2: Beyond Cyberspace,1996
69,Friday,1995
70,From Dusk Till Dawn,1996
71,Fair Game,1995
72,Kicking and Screaming,1995
74,Bed of Roses,1996
75,Big Bully,1996
76,Screamers,1995
81,Things to Do in Denver When You're Dead,1995
83,Once Upon a Time... When We Were Colored,1995
84,Last Summer in the Hamptons,1995
85,Angels and Insects,1995
86,White Squall,1996
87,Dunston Checks In,1996
88,Black Sheep,1996
89,Nick of Time,1995
92,Mary Reilly,1996
93,Vampire in Brooklyn,1995
94,Beautiful Girls,1996
95,Broken Arrow,1996
100,City Hall,1996
101,Bottle Rocket,1996
102,Mr. Wrong,1996
103,Unforgettable,1996
104,Happy Gilmore,1996
107,Muppet Treasure Island,1996
108,Catwalk,1996
110,Braveheart,1995
111,Taxi Driver,1976
113,Before and After,1996
114,Margaret's Museum,1995
116,Anne Frank Remembered,1995
118,If Lucy Fell,1996
122,Boomerang,1992
129,Pie in the Sky,1996
131,Frankie Starlight,1995
132,Jade,1995
135,Down Periscope,1996
137,Man of the Year,1995
145,Bad Boys,1995
149,Amateur,1994
150,Apollo 13,1995
151,Rob Roy,1995
153,Batman Forever,1995
155,Beyond Rangoon,1995
156,Blue in the Face,1995
157,Canadian Bacon,1995
158,Casper,1995
159,Clockers,1995
160,Congo,1995
161,Crimson Tide,1995
162,Crumb,1994
163,Desperado,1995
164,Devil in a Blue Dress,1995
165,Die Hard: With a Vengeance,1995
168,First Knight,1995
170,Hackers,1995
171,Jeffrey,1995
172,Johnny Mnemonic,1995
173,Judge Dredd,1995
174,Jury Duty,1995
175,Kids,1995
176,Living in Oblivion,1995
177,Lord of Illusions,1995
178,Love & Human Remains,1993
179,Mad Love,1995
180,Mallrats,1995
181,Mighty Morphin Power Rangers: The Movie,1995
182,Moonlight and Valentino,1995
183,Mute Witness,1994
184,Nadja,1994
186,Nine Months,1995
187,Party Girl,1995
190,Safe,1995
193,Showgirls,1995
194,Smoke,1995
195,Something to Talk About,1995
196,Species,1995
198,Strange Days,1995
201,Three Wishes,1995
202,Total Eclipse,1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995
204,Under Siege 2: Dark Territory,1995
205,Unstrung Heroes,1995
206,Unzipped,1995
208,Waterworld,1995
209,White Man's Burden,1995
210,Wild Bill,1995
212,Bushwhacked,1995
215,Before Sunrise,1995
216,Billy Madison,1995
218,Boys on the Side,1995
220,Castle Freak,1995
222,Circle of Friends,1995
223,Clerks,1994
224,Don Juan DeMarco,1995
225,Disclosure,1994
226,Dream Man,1995
227,Drop Zone,1994
228,Destiny Turns on the Radio,1995
229,Death and the Maiden,1994
230,Dolores Claiborne,1995
233,Exotica,1994
234,Exit to Eden,1994
235,Ed Wood,1994
236,French Kiss,1995
237,Forget Paris,1995
240,Hideaway,1995
241,Fluke,1995
243,Gordy,1995
245,The Glass Shield,1994
246,Hoop Dreams,1994
247,Heavenly Creatures,1994
248,Houseguest,1994
249,Immortal Beloved,1994
252,I.Q.,1994
254,Jefferson in Paris,1995
256,Junior,1994
257,Just Cause,1995
259,Kiss of Death,1995
261,Little Women,1994
263,Ladybird Ladybird,1994
266,Legends of the Fall,1994
267,Major Payne,1995
268,Little Odessa,1994
270,Love Affair,1994
271,Losing Isaiah,1995
274,Man of the House,1995
275,Mixed Nuts,1994
276,Milk Money,1994
277,Miracle on 34th Street,1994
278,Miami Rhapsody,1995
279,My Family,1995
280,Murder in the First,1995
281,Nobody's Fool,1994
282,Nell,1994
283,New Jersey Drive,1995
288,Natural Born Killers,1994
289,Only You,1994
290,Once Were Warriors,1994
292,Outbreak,1995
