original_title,vote_average,vote_count
Toy Story,7.7,5415.0
Jumanji,6.9,2413.0
Grumpier Old Men,6.5,92.0
Waiting to Exhale,6.1,34.0
Father of the Bride Part II,5.7,173.0
Heat,7.7,1886.0
Sabrina,6.2,141.0
Tom and Huck,5.4,45.0
Sudden Death,5.5,174.0
GoldenEye,6.6,1194.0
The American President,6.5,199.0
Dracula: Dead and Loving It,5.7,210.0
Balto,7.1,423.0
Nixon,7.1,72.0
Cutthroat Island,5.7,137.0
Casino,7.8,1343.0
Sense and Sensibility,7.2,364.0
Four Rooms,6.5,539.0
Ace Ventura: When Nature Calls,6.1,1128.0
Money Train,5.4,224.0
Get Shorty,6.4,305.0
Copycat,6.5,199.0
Assassins,6.0,394.0
Powder,6.3,143.0
Leaving Las Vegas,7.1,365.0
Othello,7.0,33.0
Now and Then,6.6,91.0
Persuasion,7.4,36.0
La Cité des Enfants Perdus,7.6,308.0
摇啊摇，摇到外婆桥,6.5,17.0
Dangerous Minds,6.4,249.0
Twelve Monkeys,7.4,2470.0
"Guillaumet, les ailes du courage",6.8,4.0
Babe,6.0,756.0
Carrington,6.4,16.0
Dead Man Walking,7.3,350.0
Across the Sea of Time,3.5,2.0
It Takes Two,6.1,149.0
Clueless,6.9,828.0
"Cry, the Beloved Country",6.7,13.0
Richard III,6.9,50.0
Dead Presidents,6.6,80.0
Restoration,6.3,30.0
Mortal Kombat,5.4,452.0
To Die For,6.7,177.0
How To Make An American Quilt,6.5,38.0
Se7en,8.1,5915.0
Pocahontas,6.7,1509.0
When Night Is Falling,5.9,10.0
The Usual Suspects,8.1,3334.0
Guardian Angel,6.3,3.0
Mighty Aphrodite,6.7,145.0
Lamerica,7.7,11.0
The Big Green,5.2,41.0
Georgia,6.1,15.0
Kids of the Round Table,3.0,1.0
Home for the Holidays,6.3,39.0
Il postino,7.6,181.0
Le confessionnal,6.5,2.0
The Indian in the Cupboard,5.9,136.0
Eye for an Eye,5.8,65.0
Mr. Holland's Opus,6.9,115.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0
Two If by Sea,4.5,14.0
Bio-Dome,4.4,110.0
Lawnmower Man 2: Beyond Cyberspace,2.8,32.0
Two Bits,5.4,11.0
Gazon maudit,6.0,43.0
Friday,7.0,513.0
From Dusk Till Dawn,6.9,1644.0
Fair Game,4.1,54.0
Kicking and Screaming,7.0,36.0
Les misérables,6.6,8.0
Bed of Roses,5.1,27.0
Big Bully,3.9,16.0
Screamers,6.1,154.0
Nico Icon,7.3,3.0
The Crossing Guard,6.1,74.0
The Juror,5.5,91.0
بادکنک سفید,7.5,20.0
Things to Do in Denver When You're Dead,6.7,87.0
Antonia,7.2,26.0
Once Upon a Time... When We Were Colored,4.5,2.0
Last Summer in the Hamptons,0.0,0.0
Angels and Insects,6.3,17.0
White Squall,6.3,86.0
Dunston Checks In,5.1,59.0
Black Sheep,6.0,124.0
Nick of Time,6.1,190.0
The Journey of August King,6.7,3.0
Mary Reilly,5.7,77.0
Vampire in Brooklyn,4.5,113.0
Beautiful Girls,6.6,103.0
Broken Arrow,5.7,459.0
A Midwinter's Tale,7.5,6.0
La Haine,7.9,695.0
Shopping,5.6,13.0
Heidi Fleiss: Hollywood Madam,6.8,4.0
City Hall,6.0,67.0
Bottle Rocket,6.8,285.0
Mr. Wrong,3.3,16.0
Unforgettable,5.3,22.0
Happy Gilmore,6.5,767.0
The Bridges of Madison County,7.3,397.0
Keiner liebt mich,5.1,5.0
Muppet Treasure Island,6.5,93.0
Catwalk,7.0,2.0
Headless Body in Topless Bar,0.0,0.0
Braveheart,7.7,3404.0
Taxi Driver,8.1,2632.0
紅番區,6.5,245.0
Before and After,5.8,37.0
Margaret's Museum,7.5,2.0
Le Bonheur est dans le pré,7.0,23.0
Anne Frank Remembered,7.3,4.0
The Young Poisoner's Handbook,6.9,19.0
If Lucy Fell,5.4,11.0
Steal Big Steal Little,5.1,7.0
Race the Sun,5.2,21.0
The Boys of St. Vincent,7.0,7.0
Boomerang,5.4,139.0
重慶森林,7.9,249.0
L'uomo delle stelle,6.8,29.0
Flirting with Disaster,6.3,66.0
The NeverEnding Story III,4.4,105.0
صمت القصور,4.3,3.0
Jupiter's Wife,0.0,0.0
Pie in the Sky,7.0,2.0
Angela,5.6,9.0
Frankie Starlight,5.4,4.0
Jade,5.1,45.0
Nueba Yol,5.5,1.0
Sonic Outlaws,0.0,0.0
Down Periscope,5.6,110.0
From the Journals of Jean Seberg,6.5,2.0
Man of the Year,3.8,2.0
The Neon Bible,7.2,5.0
Target,0.0,0.0
Up Close & Personal,5.9,51.0
The Birdcage,6.7,303.0
Gospa,7.0,2.0
The Brothers McMullen,6.3,23.0
Bad Boys,6.5,1729.0
The Amazing Panda Adventure,5.0,31.0
The Basketball Diaries,7.2,472.0
An Awfully Big Adventure,6.0,11.0
Amateur,6.5,21.0
Apollo 13,7.3,1637.0
Rob Roy,6.5,151.0
The Addiction,6.4,46.0
Batman Forever,5.2,1529.0
Belle de jour,7.3,163.0
Beyond Rangoon,6.4,21.0
Blue in the Face,6.8,28.0
Canadian Bacon,5.9,57.0
Casper,6.0,1045.0
Clockers,6.8,69.0
Congo,5.0,214.0
Crimson Tide,7.0,508.0
Crumb,7.6,71.0
Desperado,6.8,898.0
Devil in a Blue Dress,6.3,88.0
Die Hard: With a Vengeance,6.9,2094.0
The Doom Generation,5.6,57.0
Feast of July,0.0,0.0
First Knight,5.9,319.0
Free Willy 2 - The Adventure Home,5.5,130.0
Hackers,6.2,406.0
Jeffrey,6.5,19.0
Johnny Mnemonic,5.5,380.0
Judge Dredd,5.4,643.0
Jury Duty,4.0,34.0
Kids,6.8,280.0
Living in Oblivion,7.2,64.0
Lord of Illusions,5.9,87.0
Love & Human Remains,7.0,7.0
Mad Love,5.5,27.0
Mallrats,6.8,400.0
Mighty Morphin Power Rangers: The Movie,5.2,153.0
Moonlight and Valentino,5.6,10.0
Mute Witness,6.4,36.0
Nadja,5.9,12.0
The Net,5.6,359.0
Nine Months,5.5,171.0
Party Girl,5.8,14.0
The Prophecy,6.4,139.0
Reckless,10.0,1.0
Safe,7.2,62.0
The Scarlet Letter,5.5,111.0
The Show,5.3,2.0
Showgirls,4.9,261.0
Smoke,7.2,115.0
Something to Talk About,5.7,60.0
Species,5.5,457.0
The Stars Fell on Henrietta,6.6,6.0
Strange Days,6.8,334.0
Les parapluies de Cherbourg,7.6,119.0
The Tie That Binds,4.6,9.0
Three Wishes,6.1,18.0
Total Eclipse,6.5,112.0
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0
Under Siege 2: Dark Territory,5.6,217.0
Unstrung Heroes,6.4,9.0
Unzipped,6.0,6.0
A Walk in the Clouds,6.5,168.0
Waterworld,5.9,1017.0
White Man's Burden,5.1,25.0
Wild Bill,5.9,27.0
The Browning Version,6.0,11.0
Bushwhacked,4.9,29.0
Утомлённые солнцем,6.7,35.0
Before the Rain,7.7,45.0
Before Sunrise,7.7,984.0
Billy Madison,6.2,464.0
The Babysitter,4.7,27.0
Boys on the Side,6.3,48.0
The Cure,7.2,58.0
Castle Freak,5.8,40.0
Circle of Friends,6.5,30.0
Clerks,7.4,769.0
Don Juan DeMarco,6.3,184.0
Disclosure,5.9,217.0
Dream Man,2.5,1.0
Drop Zone,5.1,91.0
Destiny Turns on the Radio,5.3,9.0
Death and the Maiden,7.1,92.0
Dolores Claiborne,7.1,183.0
Dumb and Dumber,6.5,1894.0
飲食男女,7.5,76.0
Exotica,6.5,64.0
Exit to Eden,4.3,28.0
Ed Wood,7.3,639.0
French Kiss,6.2,179.0
Forget Paris,6.1,38.0
Far from Home: The Adventures of Yellow Dog,5.6,27.0
A Goofy Movie,6.7,404.0
Hideaway,5.0,24.0
Fluke,6.6,48.0
Farinelli,5.9,20.0
Gordy,3.0,4.0
Gumby: The Movie,5.0,2.0
The Glass Shield,5.4,9.0
Hoop Dreams,7.7,91.0
Heavenly Creatures,6.9,299.0
Houseguest,6.0,17.0
Immortal Beloved,6.9,90.0
Heavyweights,6.0,97.0
The Hunted,6.0,25.0
I.Q.,5.9,112.0
Interview with the Vampire,7.2,1558.0
Jefferson in Paris,5.2,10.0
The Jerky Boys,4.8,10.0
Junior,4.7,381.0
Just Cause,6.0,124.0
A Kid in King Arthur's Court,4.3,40.0
Kiss of Death,5.7,83.0
Star Wars,8.1,6778.0
Little Women,7.0,222.0
A Little Princess,7.4,207.0
Ladybird Ladybird,7.4,14.0
L'Enfer,6.6,22.0
Como agua para chocolate,6.6,70.0
Legends of the Fall,7.2,636.0
Major Payne,6.1,164.0
Little Odessa,6.4,31.0
Mi Vida Loca,5.7,9.0
Love Affair,4.3,11.0
Losing Isaiah,6.4,28.0
The Madness of King George,6.7,67.0
Frankenstein,6.1,272.0
Man of the House,5.1,40.0
Mixed Nuts,5.2,37.0
Milk Money,5.6,49.0
Miracle on 34th Street,6.4,199.0
Miami Rhapsody,5.6,7.0
My Family,7.0,11.0
Murder in the First,6.9,140.0
Nobody's Fool,7.0,56.0
Nell,6.1,128.0
New Jersey Drive,6.9,7.0
New York Cop,0.0,0.0
Beyond Bedlam,4.0,4.0
Nemesis 2 - Nebula,4.6,10.0
Nina Takes a Lover,7.4,4.0
Natural Born Killers,6.9,927.0
Only You,6.4,92.0
Once Were Warriors,7.6,106.0
Poison Ivy II: Lily,4.6,32.0
Outbreak,6.4,522.0
Léon,8.2,4293.0
The Perez Family,6.6,9.0
A Pyromaniac's Love Story,7.0,2.0
Pulp Fiction,8.3,8670.0
Panther,6.4,6.0
Pushing Hands,6.1,9.0
Priest,6.4,32.0
Quiz Show,7.1,262.0
Picture Bride,7.4,5.0
La Reine Margot,7.0,67.0
The Quick and the Dead,6.2,431.0
Roommates,6.4,7.0
Prêt-à-Porter,5.3,33.0
Trois couleurs : Rouge,7.8,246.0
Trois couleurs : Bleu,7.7,311.0
Trois couleurs : Blanc,7.3,218.0
Pao Da Shuang Deng,7.0,2.0
Rent-a-Kid,5.1,15.0
Relative Fear,4.7,3.0
Stuart Saves His Family,5.0,6.0
The Swan Princess,6.5,251.0
The Secret of Roan Inish,6.1,15.0
The Specialist,5.5,317.0
Stargate,6.8,942.0
The Santa Clause,6.3,501.0
The Shawshank Redemption,8.5,8358.0
Shallow Grave,7.0,247.0
Suture,6.0,7.0
Fresa y chocolate,7.1,16.0
Swimming with Sharks,6.7,104.0
The Sum of Us,6.0,21.0
Senior Trip,5.7,23.0
活着,7.7,62.0
Tank Girl,5.5,140.0
Tales from the Crypt: Demon Knight,6.7,96.0
Star Trek: Generations,6.4,461.0
Tales from the Hood,5.4,33.0
Tom & Viv,5.8,8.0
Village of the Damned,5.6,165.0
Tommy Boy,6.8,321.0
Vanya on 42nd Street,6.1,15.0
The Underneath,5.6,15.0
The Walking Dead,6.6,4.0
What's Eating Gilbert Grape,7.5,943.0
Virtuosity,5.4,163.0
While You Were Sleeping,6.5,340.0
The War,6.3,39.0
Double Happiness,5.5,2.0
Muriel's Wedding,6.9,104.0
The Baby-Sitters Club,5.3,23.0
Ace Ventura: Pet Detective,6.4,1684.0
"The Adventures of Priscilla, Queen of the Desert",7.2,174.0
Backbeat,6.2,37.0
Bitter Moon,7.0,115.0
Bullets Over Broadway,7.0,130.0
Clear and Present Danger,6.4,390.0
The Client,6.4,287.0
"Corrina, Corrina",6.4,83.0
Crooklyn,6.7,31.0
The Crow,7.3,980.0
Cobb,6.1,29.0
The Flintstones,5.0,559.0
Forrest Gump,8.2,8147.0
Four Weddings and a Funeral,6.6,654.0
Higher Learning,6.4,49.0
I Like It Like That,6.3,4.0
I Love Trouble,5.3,41.0
It Could Happen to You,6.1,154.0
The Jungle Book,5.9,107.0
Die Macht der Bilder: Leni Riefenstahl,7.3,5.0
The Lion King,8.0,5520.0
Little Buddha,6.0,76.0
New Nightmare,6.4,297.0
The Mask,6.6,2550.0
Maverick,6.6,490.0
Mrs. Parker and the Vicious Circle,6.3,20.0
The Naked Gun 33⅓: The Final Insult,6.4,535.0
The Paper,6.1,40.0
Reality Bites,6.5,180.0
Red Rock West,6.4,71.0
Ri¢hie Ri¢h,5.4,426.0
Safe Passage,4.9,7.0
The River Wild,6.1,214.0
Speed,6.8,1814.0
Speechless,5.5,24.0
Timecop,5.5,288.0
True Lies,6.8,1138.0
When a Man Loves a Woman,6.0,71.0
Wolf,6.0,221.0
Wyatt Earp,6.5,203.0
Bad Company,4.9,12.0
A Man of No Importance,6.5,2.0
S.F.W.,6.1,22.0
A Low Down Dirty Shame,6.0,31.0
"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1.0
Le colonel Chabert,5.9,9.0
"Faster, Pussycat! Kill! Kill!",6.5,59.0
Jason's Lyric,5.9,9.0
The Secret Adventures of Tom Thumb,7.1,8.0
Street Fighter,4.1,330.0
Coldblooded,6.7,13.0
Desert Winds,0.0,0.0
Fall Time,6.3,6.0
The Fear,3.4,7.0
Frank and Ollie,7.5,4.0
Girl in the Cadillac,10.0,1.0
Homage,0.0,0.0
Mirage,4.0,1.0
Open Season,0.0,0.0
Dos Crímenes,5.0,1.0
Brother Minister: The Assassination of Malcolm X,4.0,1.0
Highlander III: The Sorcerer,4.5,110.0
Federal Hill,5.0,2.0
In the Mouth of Madness,7.1,307.0
8 Seconds,7.2,22.0
Above the Rim,6.7,40.0
Addams Family Values,6.5,537.0
Martin Lawrence: You So Crazy,4.5,4.0
The Age of Innocence,7.0,172.0
Airheads,5.8,222.0
The Air Up There,5.1,42.0
Another Stakeout,4.9,58.0
Bad Girls,4.6,61.0
Barcelona,6.6,20.0
Being Human,5.0,15.0
The Beverly Hillbillies,5.0,86.0
Beverly Hills Cop III,5.5,445.0
Black Beauty,6.6,68.0
Blink,6.3,45.0
Blown Away,6.0,126.0
Blue Chips,5.7,41.0
Blue Sky,6.1,28.0
Body Snatchers,5.8,102.0
Boxing Helena,4.5,59.0
A Bronx Tale,7.4,447.0
Cabin Boy,4.9,28.0
Calendar Girl,3.7,10.0
Carlito's Way,7.7,805.0
City Slickers II: The Legend of Curly's Gold,4.9,103.0
Clean Slate,5.7,25.0
Cliffhanger,6.1,600.0
Coneheads,4.8,228.0
Color of Night,5.4,117.0
Cops & Robbersons,5.0,36.0
The Cowboy Way,5.1,38.0
Dangerous Game,5.4,9.0
Dave,6.3,205.0
Dazed and Confused,7.4,588.0
Demolition Man,6.4,1018.0
The Endless Summer 2,7.1,12.0
Even Cowgirls Get the Blues,4.2,29.0
Fatal Instinct,5.4,37.0
霸王别姬,7.8,98.0
The Favor,3.3,6.0
Fearless,6.8,80.0
Fear of a Black Hat,5.8,11.0
With Honors,6.1,54.0
Flesh and Bone,6.2,22.0
Widows' Peak,4.3,3.0
For Love or Money,5.7,77.0
The Firm,6.6,513.0
Free Willy,6.0,429.0
Fresh,7.6,56.0
The Fugitive,7.2,1240.0
Geronimo: An American Legend,5.9,44.0
The Getaway,5.4,81.0
Getting Even with Dad,4.5,43.0
Go Fish,3.9,5.0
A Good Man in Africa,5.2,11.0
Guilty as Sin,5.6,21.0
Hard Target,6.1,237.0
Heaven & Earth,6.4,51.0
Hot Shots! Part Deux,6.2,463.0
Live Nude Girls,4.7,12.0
The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0
The House of the Spirits,6.7,135.0
House Party 3,4.6,11.0
The Hudsucker Proxy,7.1,280.0
I'll Do Anything,5.7,18.0
In the Army Now,4.7,54.0
In the Line of Fire,6.8,392.0
In the Name of the Father,7.6,363.0
The Inkwell,3.9,5.0
What's Love Got to Do with It,6.9,75.0
Jimmy Hollywood,4.6,17.0
Judgment Night,6.4,79.0
Jurassic Park,7.6,4956.0
